Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2009,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y15T24,PT,2025-03-05T00:00:00,2022,51.7
2011,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y15T24,PT,2025-03-05T00:00:00,2022,69.95929
2014,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y15T24,PT,2025-03-05T00:00:00,2022,60.50919
2019,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y15T24,PT,2025-03-05T00:00:00,2022,55.20352
2021,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y15T24,PT,2025-03-05T00:00:00,2022,55.23455
2022,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y15T24,PT,2025-03-05T00:00:00,2022,48.95924
2004,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y15T64,PT,2025-03-05T00:00:00,2022,32.0
2009,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y15T64,PT,2025-03-05T00:00:00,2022,25.6
2011,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y15T64,PT,2025-03-05T00:00:00,2022,36.66705
2014,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y15T64,PT,2025-03-05T00:00:00,2022,29.88662
