Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_SNV,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,813.3
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_SNV,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,925.9
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_SNV,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,1066.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_SNV,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,1071.8
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_SNV,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,1075.7
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_TBL,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,2137.4
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_TBL,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,2150.8
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_TBL,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,2393.4
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_TBL,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,2697.3
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_TBL,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,2968.3
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_TBL,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,3148.9
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_TRE,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,54976.7
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_TRE,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,54234.2
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_TRE,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,54052.3
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_TRE,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,52762.7
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,C04,LC_TRE,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,52232.9
