Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2014,A,0,"International Monetary Fund, Financial Soundness Indicators.",FB_BNK_CAPA_ZS,24,PT,2025-03-19T00:00:00,2021,,8.91289884359989
2015,A,0,"International Monetary Fund, Financial Soundness Indicators.",FB_BNK_CAPA_ZS,24,PT,2025-03-19T00:00:00,2021,,9.44007218414204
2016,A,0,"International Monetary Fund, Financial Soundness Indicators.",FB_BNK_CAPA_ZS,24,PT,2025-03-19T00:00:00,2021,,10.8283059553168
2017,A,0,"International Monetary Fund, Financial Soundness Indicators.",FB_BNK_CAPA_ZS,24,PT,2025-03-19T00:00:00,2021,,12.3645924301501
2018,A,0,"International Monetary Fund, Financial Soundness Indicators.",FB_BNK_CAPA_ZS,24,PT,2025-03-19T00:00:00,2021,,14.1831450300624
2019,A,0,"International Monetary Fund, Financial Soundness Indicators.",FB_BNK_CAPA_ZS,24,PT,2025-03-19T00:00:00,2021,,9.87031380207947
2020,A,0,"International Monetary Fund, Financial Soundness Indicators.",FB_BNK_CAPA_ZS,24,PT,2025-03-19T00:00:00,2021,,8.96927105568948
2021,A,0,"International Monetary Fund, Financial Soundness Indicators.",FB_BNK_CAPA_ZS,24,PT,2025-03-19T00:00:00,2021,,10.0259673385746
2000,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,1.92891647488978
2001,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,1.06051298619751
2002,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,0.515950491062243
2003,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,0.722048941236958
2004,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,1.25835735524017
2005,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,1.99794220547624
2006,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,4.32469967086085
2007,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,3.89157343751113
2008,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,3.74480928595891
2009,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,3.3611382027568
2010,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,5.41091833069454
2011,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,6.0305602882839
2012,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,6.61494628107062
