Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2007,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,24,U,PT,2023-09-12T00:00:00,2022,54.43671
2008,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,24,U,PT,2023-09-12T00:00:00,2022,55.42561
2009,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,24,U,PT,2023-09-12T00:00:00,2022,56.4145
2010,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,24,U,PT,2023-09-12T00:00:00,2022,57.40339
2011,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,24,U,PT,2023-09-12T00:00:00,2022,58.39229
2012,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,24,U,PT,2023-09-12T00:00:00,2022,59.38118
2013,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,24,U,PT,2023-09-12T00:00:00,2022,60.37007
2014,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,24,U,PT,2023-09-12T00:00:00,2022,61.35897
2015,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,24,U,PT,2023-09-12T00:00:00,2022,62.34786
2016,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,24,U,PT,2023-09-12T00:00:00,2022,63.33676
2017,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,24,U,PT,2023-09-12T00:00:00,2022,64.32565
2018,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,24,U,PT,2023-09-12T00:00:00,2022,65.31454
2019,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,24,U,PT,2023-09-12T00:00:00,2022,65.31454
2020,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,24,U,PT,2023-09-12T00:00:00,2022,65.31454
2021,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,24,U,PT,2023-09-12T00:00:00,2022,65.31454
2022,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,24,U,PT,2023-09-12T00:00:00,2022,65.31454
