Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2013,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,29.9
2014,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,31.1
2015,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,32.4
2016,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,33.7
2017,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,35.1
2018,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,36.5
2019,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,37.9
2020,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,39.3
2021,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,40.8
2022,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,42.4
2023,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,43.7
2024,A,0,53.2,36.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,F,Y0T4,PT,2025-03-27T00:00:00,2024,44.8
2000,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,50.1
2001,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,47.5
2002,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,44.9
2003,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,42.5
2004,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,40.3
2005,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,38.3
2006,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,36.6
2007,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,35.2
2008,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,34.1
2009,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,33.4
2010,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,33.2
2011,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,33.3
2012,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,33.8
2013,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,34.8
2014,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,36.0
2015,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,37.4
2016,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,38.8
2017,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,40.3
2018,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,41.8
2019,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,43.2
2020,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,44.7
2021,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,46.3
2022,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,48.1
2023,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,49.4
2024,A,0,58.9,42.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,M,Y0T4,PT,2025-03-27T00:00:00,2024,50.6
2000,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,1413.4
2001,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,1378.3
2002,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,1345.0
2003,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,1315.4
